Ticker,Profile,LOOKAHEAD,TP,SL,THRESH,Valid,Reject_Reasons,Score,Validation_Precision,Precision_Std,Base_Rate,Excess_Precision,Precision_Lift,Trades,Valid_Folds,Avg_Return,Avg_Holding_Days,Expectancy_Per_Day,Timeout_Rate
CTD,POSITION,40,0.15,-0.08,0.5,False,low_precision,0.025114523835764912,0.2962962962962963,0.12965211831705614,0.25654682645361737,0.03974946984267891,1.1549404030336934,783,3,0.015307162559517523,20.51596424010217,0.000746109828406251,0.2247765006385696
CTD,POSITION,40,0.15,-0.07,0.5,False,low_precision,0.024846137818552022,0.2826086956521739,0.13121442629392824,0.24811362627607633,0.03449506937609756,1.1390293179572715,736,3,0.01807036556638575,19.98913043478261,0.0009040095878326917,0.22418478260869565
CTD,POSITION,40,0.15,-0.1,0.5,False,low_precision,0.023141263654378866,0.31890660592255127,0.12995166335663547,0.2720816688859299,0.046824937036621384,1.1720988262687917,878,3,0.012153550584800596,21.87015945330296,0.0005557138533989692,0.24031890660592256
CTD,POSITION,40,0.15,-0.1,0.55,False,low_precision,0.020455884760854713,0.319693094629156,0.14280769321211154,0.2720816688859299,0.04761142574322613,1.1749894609335028,782,3,0.011520455762608066,21.620204603580564,0.000532856000824677,0.23273657289002558
CTD,POSITION,40,0.15,-0.08,0.55,False,low_precision,0.017337364756466925,0.2911010558069382,0.13088663640005402,0.25654682645361737,0.03455422935332081,1.1346897511705463,663,3,0.013516999441461355,20.402714932126695,0.0006625098417424141,0.22322775263951736
CTD,POSITION,40,0.15,-0.1,0.6,False,low_precision,0.00944323104073417,0.31142857142857144,0.1476283918673371,0.2720816688859299,0.03934690254264156,1.144614304811999,700,3,0.01174918056908211,21.852857142857143,0.0005376496305145533,0.24428571428571427
CTD,POSITION,60,0.15,-0.08,0.6,False,low_precision,0.004585560641016388,0.3278084714548803,0.14725009606699382,0.30165104863900044,0.02615742281587985,1.0867141746968347,543,3,0.01702963991900862,25.63351749539595,0.000664350490384434,0.15285451197053407
CTD,POSITION,60,0.15,-0.08,0.55,False,low_precision,0.0017566213463682673,0.32515337423312884,0.14185085625821972,0.30165104863900044,0.023502325594128404,1.0779122917763908,652,3,0.01641826090023048,25.84049079754601,0.0006353695457345686,0.15950920245398773
CTD,POSITION,60,0.15,-0.07,0.5,False,low_precision,-0.003355848726920064,0.3074712643678161,0.14787957092754908,0.2896028558679161,0.017868408499899957,1.0616996934807499,696,3,0.019384477202680103,26.16522988505747,0.0007408487250864709,0.16379310344827586
CTD,POSITION,40,0.15,-0.08,0.6,False,low_precision,-0.003986323254847771,0.27787934186471663,0.14651737952526958,0.25654682645361737,0.021332515411099262,1.08315251692191,547,3,0.011916367546980843,20.480804387568554,0.0005818310316772525,0.23217550274223034
CTD,POSITION,60,0.15,-0.07,0.55,False,low_precision,-0.004722442905873946,0.30522765598650925,0.14120046164550293,0.2896028558679161,0.01562480011859313,1.0539525033957775,593,3,0.017506043863249447,26.00168634064081,0.0006732657118170877,0.15682967959527824
CTD,POSITION,40,0.15,-0.07,0.55,False,low_precision,-0.009360238235284087,0.25796178343949044,0.13023076525195704,0.24811362627607633,0.009848157163414112,1.0396921211927472,628,3,0.012084113005432853,20.156050955414013,0.000599527805896297,0.22929936305732485
CTD,POSITION,40,0.15,-0.1,0.65,False,low_precision,-0.011104486882144167,0.2948073701842546,0.13938277836318444,0.2720816688859299,0.02272570129832474,1.0835252896964813,597,3,0.00744106307445682,21.827470686767168,0.0003409035880014736,0.24958123953098826
CTD,POSITION,60,0.15,-0.08,0.5,False,low_precision,-0.011333293650387238,0.31462140992167104,0.13861871249847338,0.30165104863900044,0.012970361282670595,1.0429978954099208,766,3,0.013444877345544082,25.89425587467363,0.000519222387007262,0.15926892950391644
CTD,POSITION,60,0.15,-0.08,0.65,False,low_precision,-0.015959376250066586,0.31519274376417233,0.16095359962008726,0.30165104863900044,0.013541695125171893,1.044891917801638,441,3,0.014361427147608578,25.80952380952381,0.0005564390592031271,0.1564625850340136
CTD,POSITION,40,0.15,-0.1,0.7,False,low_precision,-0.017032827555360005,0.29343629343629346,0.15530341522604205,0.2720816688859299,0.021354624550363577,1.0784860794162152,518,3,0.007546620705052499,21.704633204633204,0.0003476963021468547,0.25096525096525096
CTD,POSITION,60,0.15,-0.07,0.6,False,low_precision,-0.01758058854992371,0.2965235173824131,0.1450194808413564,0.2896028558679161,0.006920661514496995,1.0238970726647678,489,3,0.016014779457147875,26.52556237218814,0.0006037489132873392,0.15950920245398773
CTD,POSITION,50,0.1,-0.08,0.5,False,low_precision,-0.01935018660343006,0.41366223908918404,0.15124353742313917,0.41255006675567424,0.0011121723335097977,1.0026958457177335,1054,3,0.005353911808697057,19.12428842504744,0.0002799535171936115,0.09582542694497154
CTD,POSITION,60,0.1,-0.08,0.5,False,low_precision,-0.02291698168415191,0.44412607449856734,0.18264049206128705,0.43998215082552433,0.004143923673043004,1.0094183881229033,1047,3,0.005748532280217185,20.15281757402101,0.00028524707569140944,0.05635148042024833
CTD,POSITION,50,0.1,-0.07,0.5,False,"low_precision,low_excess_precision",-0.02424670138645344,0.38924930491195553,0.13488954839987508,0.3991989319092123,-0.009949626997256766,0.9750760155475676,1079,3,0.004244559219084247,17.925857275254867,0.0002367841690174962,0.08526413345690455
CTD,POSITION,50,0.1,-0.08,0.55,False,"low_precision,low_excess_precision",-0.025179782971529126,0.40987124463519314,0.15461237448681228,0.41255006675567424,-0.0026788221204810947,0.993506671480981,932,3,0.00463106231736068,19.013948497854077,0.00024356131592760878,0.09656652360515021
CTD,POSITION,50,0.1,-0.08,0.6,False,"low_precision,low_excess_precision",-0.02816157558910971,0.40523690773067333,0.14415913647245363,0.41255006675567424,-0.007313159025000904,0.9822732788173192,802,3,0.0033022022533844607,18.73067331670823,0.00017629917501484126,0.09476309226932668
CTD,POSITION,50,0.1,-0.07,0.55,False,"low_precision,low_excess_precision",-0.03095600841820656,0.3860759493670886,0.14204042221861204,0.3991989319092123,-0.013122982542123685,0.967126706861443,948,3,0.0034824709242202833,18.054852320675106,0.00019288282519151529,0.08438818565400844
CTD,POSITION,40,0.15,-0.07,0.6,False,"low_precision,low_excess_precision",-0.03125999335759079,0.24299065420560748,0.13465011692307577,0.24811362627607633,-0.005122972070468856,0.9793523107669998,535,3,0.009598284978668738,20.429906542056074,0.00046981541293105437,0.24299065420560748
CTD,POSITION,60,0.15,-0.07,0.65,False,low_precision,-0.03146969722907026,0.28992628992628994,0.1641200684687508,0.2896028558679161,0.0003234340583738171,1.0011168158417765,407,3,0.01337358807353966,26.004914004914006,0.0005142715746146384,0.1547911547911548
CTD,POSITION,40,0.1,-0.07,0.5,False,"low_precision,low_excess_precision",-0.03257572402033889,0.365234375,0.12823119558961696,0.3821571238348868,-0.016922748834886814,0.9557178219765013,1024,3,0.003080110663294026,16.654296875,0.00018494390283943358,0.119140625
CTD,POSITION,50,0.15,-0.08,0.5,False,"low_precision,low_excess_precision",-0.033990967030692223,0.27262044653349,0.13605135922262226,0.27636849132176233,-0.0037480447882723422,0.9864382305059989,851,3,0.011187789956265222,24.596944770857814,0.00045484469961755354,0.22326674500587543
CTD,POSITION,40,0.1,-0.08,0.5,False,"low_precision,low_excess_precision",-0.03540601317395181,0.37885874649204865,0.13070250450525625,0.39236573457612073,-0.01350698808407208,0.9655755132026514,1069,3,0.0011770572737660615,17.305893358278766,6.801482300449794e-05,0.13096351730589337
CTD,POSITION,60,0.1,-0.08,0.55,False,"low_precision,low_excess_precision",-0.038920672414990684,0.4280898876404494,0.16666087924250247,0.43998215082552433,-0.011892263185074914,0.9729710304480923,890,3,0.002604466799738128,20.065168539325843,0.0001298003948735251,0.058426966292134834
CTD,POSITION,40,0.1,-0.08,0.55,False,"low_precision,low_excess_precision",-0.03948438705356581,0.3753976670201485,0.1274681585128833,0.39236573457612073,-0.016968067555972244,0.9567544588697134,943,3,-8.22643442688726e-05,17.12513255567338,-4.803720146202053e-06,0.12725344644750794
CTD,POSITION,40,0.15,-0.08,0.65,False,"low_precision,low_excess_precision",-0.040396883598835684,0.248868778280543,0.13949201131827402,0.25654682645361737,-0.007678048173074381,0.9700715489281871,442,3,0.0063443429893981895,20.556561085972852,0.00030862861558194867,0.24434389140271492
CTD,POSITION,50,0.15,-0.08,0.55,False,"low_precision,low_excess_precision",-0.04061371217002686,0.2661971830985915,0.13461587416025095,0.27636849132176233,-0.010171308223170805,0.9631965672435305,710,3,0.011630455795980077,24.81549295774648,0.00046867720158993666,0.23098591549295774
CTD,POSITION,50,0.15,-0.07,0.55,False,"low_precision,low_excess_precision",-0.04074645717398194,0.24927953890489912,0.1177155076745676,0.2656875834445928,-0.01640804453969369,0.9382430851106801,694,3,0.011973064026949747,24.580691642651296,0.0004870922348534546,0.22910662824207492
CTD,POSITION,50,0.15,-0.07,0.5,False,"low_precision,low_excess_precision",-0.041040387100247204,0.2503097893432466,0.1215511916452699,0.2656875834445928,-0.01537779410134621,0.9421207613690614,807,3,0.010404871700506559,24.220570012391573,0.0004295882258243178,0.218091697645601
CTD,POSITION,40,0.1,-0.1,0.5,False,"low_precision,low_excess_precision",-0.042519486732205417,0.4020332717190388,0.14590360336073904,0.40967598757212603,-0.007642715853087234,0.981344484260049,1082,3,0.0005295457711061828,19.703327171903883,2.68759568604442e-05,0.17282809611829944
CTD,POSITION,40,0.1,-0.1,0.55,False,"low_precision,low_excess_precision",-0.04576909325583779,0.4006243496357961,0.1504168376517749,0.40967598757212603,-0.00905163793632996,0.9779053711010052,961,3,-0.0008928534207923534,19.16961498439126,-4.6576492092969904e-05,0.16233090530697192
CTD,POSITION,40,0.1,-0.07,0.55,False,"low_precision,low_excess_precision",-0.045802152954221395,0.35498320268757,0.12656292162019245,0.3821571238348868,-0.027173921147316815,0.9288933258563281,893,3,0.001420171528696381,16.632698768197088,8.538431125359322e-05,0.12430011198208286
