Feature_Set,Periods,Pass_Periods,Avg_Score,Min_Score,Avg_Edge,Min_Edge,Avg_Return,Min_Return,Avg_Expectancy_Per_Day,Avg_Timeout_Rate,Total_Trades,Avg_Trades,Pass_Rate,Stable_Strict_Candidate
ablation_trend_recovery_minus_market_regime_v1,4,4,0.25013698347369123,0.0831838980764759,0.22715397250489833,0.1332043218835671,0.054482290139969046,0.0326694444001676,0.004221731048232225,0.12845419366025124,782,195.5,1.0,True
ablation_trend_recovery_minus_rsi_v1,4,4,0.209081257357637,0.0375192333885718,0.1988461074994795,0.0976276060388209,0.04628083325549168,0.0243835100901356,0.0039540297044744,0.11594055903181824,894,223.5,1.0,True
candidate_recovery_valuation_v1,4,4,0.20715103662683776,0.0537460738834307,0.1872177254816947,0.0334174022698612,0.0437500492090954,0.0271278839840181,0.0038507010296087,0.144345255683561,665,166.25,1.0,True
candidate_trend_recovery_v1,4,4,0.20904274641277604,0.0475656997970257,0.18554076774352277,0.0593924739307843,0.0456471914180546,0.0244772875293335,0.00391125390410555,0.1363565644496053,866,216.5,1.0,True
