Period_Label,Period_Start,Period_End,LOOKAHEAD,TP,SL,THRESH,Score,Validation_Precision,Precision_Std,Base_Rate,Excess_Precision,Precision_Lift,Breakeven_Precision,Edge_vs_Breakeven,Trades,Valid_Folds,Avg_Return,Avg_Holding_Days,Expectancy_Per_Day,Timeout_Rate,Research_Status,Pass_Tradeable_Rule,Ticker,Profile,Feature_Set,Experiment_Mode,Rows,Reject_Note,Setup_Source,Evaluated_Setups,Score_Delta_vs_Baseline,Validation_Precision_Delta_vs_Baseline,Excess_Precision_Delta_vs_Baseline,Edge_vs_Breakeven_Delta_vs_Baseline,Avg_Return_Delta_vs_Baseline,Expectancy_Per_Day_Delta_vs_Baseline,Avg_Holding_Days_Delta_vs_Baseline,Timeout_Rate_Delta_vs_Baseline,Trades_Delta_vs_Baseline,Score_Delta_vs_Period_Baseline,Edge_vs_Breakeven_Delta_vs_Period_Baseline,Avg_Return_Delta_vs_Period_Baseline,Expectancy_Per_Day_Delta_vs_Period_Baseline,Timeout_Rate_Delta_vs_Period_Baseline,Trades_Delta_vs_Period_Baseline
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,-0.0274305741658515,0.2556962025316455,0.1580338262926451,0.2416666666666666,0.0140295358649788,1.0580532474769335,0.411764705882353,-0.1560685033507074,395,3,0.0151858564943708,14.90379746835443,0.0010189253125316,0.4481012658227848,RESEARCH_EDGE,False,CTD,SWING,baseline,fixed_setup,961,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P1_2014_2018,2014-01-01,2018-12-31,30,0.1,-0.07,0.7,0.0361168098713939,0.4,0.2220579737521172,0.3263009845288326,0.0736990154711674,1.2258620652086727,0.411764705882353,-0.0117647058823529,335,3,0.0194278901910456,16.865671641791046,0.0011519191528521,0.217910447761194,RESEARCH_EDGE,False,CTD,SWING,baseline,reoptimized,951,,profile_grid_search,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,0.0026935180409133,0.2648514851485148,0.1237703365554118,0.2416666666666666,0.0231848184818481,1.0959371753899767,0.411764705882353,-0.1469132207338381,404,3,0.027968824148864,15.923267326732674,0.0017564751990411,0.5420792079207921,RESEARCH_EDGE,False,CTD,SWING,candidate_trend_recovery_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.030124092206764798,0.009155282616869292,0.0127829676544932,0.0007375498865095,0.0939779420980073,9
P1_2014_2018,2014-01-01,2018-12-31,30,0.08,-0.05,0.7,0.0475656997970257,0.444007858546169,0.1567805407838604,0.3966244725738396,0.0473833859723293,1.1194666192566858,0.3846153846153846,0.0593924739307843,509,3,0.0244772875293335,15.288801571709234,0.0016009945196113,0.2023575638506876,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,reoptimized,951,,profile_grid_search,60.0,,,,,,,,,,0.011448889925631797,0.0711571798131372,0.005049397338287902,0.0004490753667592,-0.01555288391050641,174
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,0.0011471676756705,0.2655086848635236,0.1268806578278151,0.2416666666666666,0.0238420181968569,1.0986566224753116,0.411764705882353,-0.1462560210188294,403,3,0.0270745314510327,15.913151364764268,0.0017013934467613,0.5384615384615384,RESEARCH_EDGE,False,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.028577741841521998,0.009812482331878009,0.011888674956661899,0.0006824681342297001,0.09036027263875362,8
P1_2014_2018,2014-01-01,2018-12-31,40,0.08,-0.05,0.7,0.0375192333885718,0.4822429906542056,0.1781694326216154,0.4382978723404255,0.04394511831378,1.1002631315065676,0.3846153846153846,0.0976276060388209,535,3,0.0243835100901356,16.885981308411214,0.0014440090654693,0.1252336448598131,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,reoptimized,941,,profile_grid_search,60.0,,,,,,,,,,0.0014024235171778976,0.1093923119211738,0.004955619899090002,0.00029208991261719984,-0.09267680290138092,200
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,-0.0229634007330372,0.2493946731234866,0.1445155597853577,0.2416666666666666,0.00772800645682,1.031977953482105,0.411764705882353,-0.1623700327588663,413,3,0.0268152446620283,15.98547215496368,0.0016774759231634,0.5569007263922519,RESEARCH_EDGE,False,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.0044671734328143,-0.006301529408158896,0.011629388167657498,0.0006585506106318,0.10879946056946704,18
P1_2014_2018,2014-01-01,2018-12-31,40,0.08,-0.05,0.65,0.0831838980764759,0.5178197064989518,0.1572661839863822,0.4382978723404255,0.0795218341585262,1.1814333082487072,0.3846153846153846,0.1332043218835671,477,3,0.0326694444001676,18.465408805031448,0.0017692239984146,0.1530398322851153,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,reoptimized,941,,profile_grid_search,60.0,,,,,,,,,,0.047067088205082,0.14496902776592,0.013241554209122,0.0006173048455625,-0.0648706154760787,142
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,-0.0225989636254724,0.2513966480446927,0.138178183042248,0.2416666666666666,0.009729981378026,1.0402619876045411,0.411764705882353,-0.1603680578376602,358,3,0.0247166128443722,16.039106145251395,0.0015410218386857,0.5502793296089385,RESEARCH_EDGE,False,CTD,SWING,candidate_recovery_valuation_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.004831610540379099,-0.004299554486952795,0.009530756350001399,0.0005220965261541,0.10217806378615374,-37
P1_2014_2018,2014-01-01,2018-12-31,40,0.1,-0.05,0.7,0.0537460738834307,0.4511278195488721,0.1789740699936752,0.3801418439716312,0.0709859755772409,1.1867354923332325,0.3333333333333333,0.1177944862155388,399,3,0.0406465706856492,22.31578947368421,0.0018214265164922,0.2355889724310776,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,reoptimized,941,,profile_grid_search,60.0,,,,,,,,,,0.0176292640120368,0.12955919209789168,0.021218680494603598,0.0006695073636401,0.017678524669883594,64
