Period_Label,Period_Start,Period_End,Feature_Set,LOOKAHEAD,TP,SL,THRESH,Score,Validation_Precision,Breakeven_Precision,Edge_vs_Breakeven,Avg_Return,Avg_Holding_Days,Expectancy_Per_Day,Timeout_Rate,Trades,Research_Status,Pass_Tradeable_Rule,Score_Delta_vs_Period_Baseline,Edge_vs_Breakeven_Delta_vs_Period_Baseline,Avg_Return_Delta_vs_Period_Baseline
P1_2014_2018,2014-01-01,2018-12-31,ablation_trend_recovery_minus_market_regime_v1,40,0.08,-0.05,0.65,0.0831838980764759,0.5178197064989518,0.3846153846153846,0.1332043218835671,0.0326694444001676,18.465408805031448,0.0017692239984146,0.1530398322851153,477,TRADEABLE_EDGE,True,0.047067088205082,0.14496902776592,0.013241554209122
P1_2014_2018,2014-01-01,2018-12-31,candidate_recovery_valuation_v1,40,0.1,-0.05,0.7,0.0537460738834307,0.4511278195488721,0.3333333333333333,0.1177944862155388,0.0406465706856492,22.31578947368421,0.0018214265164922,0.2355889724310776,399,TRADEABLE_EDGE,True,0.0176292640120368,0.12955919209789168,0.021218680494603598
P1_2014_2018,2014-01-01,2018-12-31,candidate_trend_recovery_v1,30,0.08,-0.05,0.7,0.0475656997970257,0.444007858546169,0.3846153846153846,0.0593924739307843,0.0244772875293335,15.288801571709234,0.0016009945196113,0.2023575638506876,509,TRADEABLE_EDGE,True,0.011448889925631797,0.0711571798131372,0.005049397338287902
P1_2014_2018,2014-01-01,2018-12-31,ablation_trend_recovery_minus_rsi_v1,40,0.08,-0.05,0.7,0.0375192333885718,0.4822429906542056,0.3846153846153846,0.0976276060388209,0.0243835100901356,16.885981308411214,0.0014440090654693,0.1252336448598131,535,TRADEABLE_EDGE,True,0.0014024235171778976,0.1093923119211738,0.004955619899090002
P1_2014_2018,2014-01-01,2018-12-31,baseline,30,0.1,-0.07,0.7,0.0361168098713939,0.4,0.411764705882353,-0.0117647058823529,0.0194278901910456,16.865671641791046,0.0011519191528521,0.217910447761194,335,RESEARCH_EDGE,False,0.0,0.0,0.0
P2_2019_2021,2019-01-01,2021-12-31,ablation_trend_recovery_minus_market_regime_v1,20,0.1,-0.07,0.7,0.4555776698087884,0.6309523809523809,0.411764705882353,0.2191876750700279,0.0678330993916437,11.273809523809524,0.0060168747079119,0.2261904761904762,84,TRADEABLE_EDGE,True,0.3772387844419096,0.2176003734827263,0.0498858036777324
P2_2019_2021,2019-01-01,2021-12-31,ablation_trend_recovery_minus_rsi_v1,20,0.1,-0.07,0.7,0.3906762388350966,0.5957446808510638,0.411764705882353,0.1839799749687108,0.0598212738800211,10.872340425531917,0.0055021523915898,0.2127659574468085,94,TRADEABLE_EDGE,True,0.3123373534682178,0.1823926733814092,0.0418739781661098
P2_2019_2021,2019-01-01,2021-12-31,candidate_trend_recovery_v1,20,0.1,-0.07,0.7,0.3897149292992526,0.5869565217391305,0.411764705882353,0.1751918158567775,0.0583842067830894,11.01086956521739,0.00530241562049,0.217391304347826,92,TRADEABLE_EDGE,True,0.31137604393237384,0.1736045142694759,0.0404369110691781
P2_2019_2021,2019-01-01,2021-12-31,candidate_recovery_valuation_v1,30,0.1,-0.05,0.5,0.3774106157971492,0.6164383561643836,0.3333333333333333,0.2831050228310502,0.0527829943955172,11.26027397260274,0.0046875408643924,0.0958904109589041,73,TRADEABLE_EDGE,True,0.29907173043027035,0.28151772124374863,0.0348356986816059
P2_2019_2021,2019-01-01,2021-12-31,baseline,20,0.08,-0.07,0.7,0.0783388853668788,0.4682539682539682,0.4666666666666666,0.0015873015873016,0.0179472957139113,10.468253968253968,0.0017144497799369,0.2222222222222222,126,RESEARCH_EDGE,False,0.0,0.0,0.0
P3_2022_2023,2022-01-01,2023-12-31,ablation_trend_recovery_minus_rsi_v1,30,0.1,-0.05,0.5,0.2706550237799023,0.6974789915966386,0.3333333333333333,0.3641456582633053,0.071272404662272,10.3109243697479,0.006912319603902,0.0504201680672268,119,TRADEABLE_EDGE,True,0.15885536164480812,0.1711748359821383,0.0320521946527376
P3_2022_2023,2022-01-01,2023-12-31,candidate_trend_recovery_v1,30,0.1,-0.05,0.55,0.2653404469114705,0.6949152542372882,0.3333333333333333,0.3615819209039548,0.0706374474541718,10.364406779661016,0.0068153874070221,0.0508474576271186,118,TRADEABLE_EDGE,True,0.15354078477637634,0.1686110986227878,0.031417237444637404
P3_2022_2023,2022-01-01,2023-12-31,candidate_recovery_valuation_v1,30,0.1,-0.05,0.65,0.2210884228624909,0.647887323943662,0.3333333333333333,0.3145539906103287,0.0544427477711971,8.309859154929578,0.0065515849004912,0.0,71,TRADEABLE_EDGE,True,0.1092887607273967,0.12158316832916169,0.0152225377616627
